Gene,gene.description
AT5G43230,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G01810.3); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eu /.../es - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G43230]
AT5G49020,Probable histone-arginine methyltransferase 1.4 [Source:UniProtKB/Swiss-Prot;Acc:A3KPF2]
AT2G26700,Protein kinase PINOID 2 [Source:UniProtKB/Swiss-Prot;Acc:Q64FQ2]
AT4G27560,UDP-glycosyltransferase 79B2 [Source:UniProtKB/Swiss-Prot;Acc:Q9T080]
AT3G44320,Nitrilase 3 [Source:UniProtKB/Swiss-Prot;Acc:P46010]
AT4G18010,"Type I inositol 1,4,5-trisphosphate 5-phosphatase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FUR2]"
AT4G22730,Leucine-rich repeat protein kinase family protein [Source:TAIR;Acc:AT4G22730]
AT4G38540,FAD/NAD(P)-binding oxidoreductase family protein [Source:TAIR;Acc:AT4G38540]
AT2G01430,Homeobox-leucine zipper protein ATHB-17 [Source:UniProtKB/Swiss-Prot;Acc:Q8S9N6]
AT3G60810,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1499 (InterPro:IPR010865); Has 444 Blast hits to 444 proteins in 143 species: Archae - 0; Bacteria - 268; Metazoa - 0; Fungi - 0; Plants - 51; Viruses - 0; Other Eukaryotes  /.../(source: NCBI BLink). [Source:TAIR;Acc:AT3G60810]
AT4G00150,Scarecrow-like protein 6 [Source:UniProtKB/Swiss-Prot;Acc:O81316]
AT4G15550,UDP-glycosyltransferase 75D1 [Source:UniProtKB/Swiss-Prot;Acc:O23406]
AT5G27820,Ribosomal L18p/L5e family protein [Source:TAIR;Acc:AT5G27820]
AT1G68540,Tetraketide alpha-pyrone reductase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9CA28]
AT1G10560,U-box domain-containing protein 18 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIJ5]
AT3G57610,"Adenylosuccinate synthetase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q96529]"
AT3G55010,"Phosphoribosylformylglycinamidine cyclo-ligase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q05728]"
AT4G01710,Actin-related protein 2/3 complex subunit 5A [Source:UniProtKB/Swiss-Prot;Acc:Q9M117]
AT3G03860,5'-adenylylsulfate reductase-like 5 [Source:UniProtKB/Swiss-Prot;Acc:Q93YX4]
AT4G31330,"Protein of unknown function, DUF599 [Source:TAIR;Acc:AT4G31330]"
AT1G51800,Leucine-rich repeat protein kinase family protein [Source:TAIR;Acc:AT1G51800]
AT1G04510,Pre-mRNA-processing factor 19 homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:Q94BR4]
AT2G39100,RING/U-box superfamily protein [Source:TAIR;Acc:AT2G39100]
AT1G23440,"Peptidase C15, pyroglutamyl peptidase I-like [Source:TAIR;Acc:AT1G23440]"
AT3G44770,UPF0725 protein At3g44770 [Source:UniProtKB/Swiss-Prot;Acc:Q5BPP4]
AT4G28720,Probable indole-3-pyruvate monooxygenase YUCCA8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVU0]
AT2G31425,Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:TAIR;Acc:AT2G31425]
AT3G28380,ABC transporter B family member 17 [Source:UniProtKB/Swiss-Prot;Acc:Q9LSJ6]
AT4G37260,myb domain protein 73 [Source:TAIR;Acc:AT4G37260]
AT1G16970,ATP-dependent DNA helicase 2 subunit KU70 [Source:UniProtKB/Swiss-Prot;Acc:Q9FQ08]
AT3G56690,Calmodulin-interacting protein 111 [Source:UniProtKB/Swiss-Prot;Acc:Q9LET7]
AT5G49270,COBRA-like protein 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJ13]
AT3G62750,Beta-glucosidase 8 [Source:UniProtKB/Swiss-Prot;Acc:Q67XN2]
AT3G59690,IQ-domain 13 [Source:TAIR;Acc:AT3G59690]
AT5G37180,Sucrose synthase 5 [Source:UniProtKB/Swiss-Prot;Acc:F4K5W8]
AT1G35115,transposable element gene [Source:TAIR;Acc:AT1G35115]
AT5G06850,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein [Source:TAIR;Acc:AT5G06850]
AT1G11350,G-type lectin S-receptor-like serine/threonine-protein kinase SD1-13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPZ9]
AT3G15710,Peptidase S24/S26A/S26B/S26C family protein [Source:TAIR;Acc:AT3G15710]
AT1G62320,ERD (early-responsive to dehydration stress) family protein [Source:TAIR;Acc:AT1G62320]
AT1G04310,Ethylene response sensor 2 [Source:UniProtKB/Swiss-Prot;Acc:P93825]
AT2G36950,Heavy metal transport/detoxification superfamily protein [Source:TAIR;Acc:AT2G36950]
AT2G20960,Arabidopsis phospholipase-like protein (PEARLI 4) family [Source:TAIR;Acc:AT2G20960]
AT3G02420,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein fami /.../0121 (InterPro:IPR005344); Has 72 Blast hits to 71 proteins in 25 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 2; Plants - 60; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink). [Source:TAIR;Acc:AT3G02420]
AT5G59890,Actin-depolymerizing factor 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZSK3]
AT4G13505,other RNA [Source:TAIR;Acc:AT4G13505]
AT4G25220,Putative glycerol-3-phosphate transporter 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SB41]
AT3G28270,UPF0496 protein At3g28270 [Source:UniProtKB/Swiss-Prot;Acc:Q9LHD9]
AT2G27950,Ring/U-Box superfamily protein [Source:TAIR;Acc:AT2G27950]
AT3G51570,Disease resistance protein (TIR-NBS-LRR class) family [Source:TAIR;Acc:AT3G51570]
AT4G24220,"3-oxo-Delta(4,5)-steroid 5-beta-reductase [Source:UniProtKB/Swiss-Prot;Acc:Q9STX2]"
AT1G15340,Methyl-CpG-binding domain-containing protein 10 [Source:UniProtKB/Swiss-Prot;Acc:Q9XI36]
AT5G24270,Calcineurin B-like protein 4 [Source:UniProtKB/Swiss-Prot;Acc:O81223]
AT5G66005,Expressed protein [Source:TAIR;Acc:AT5G66005]
AT3G11650,NDR1/HIN1-like 2 [Source:TAIR;Acc:AT3G11650]
AT3G66658,Aldehyde dehydrogenase 22A1 [Source:UniProtKB/Swiss-Prot;Acc:Q0WSF1]
AT2G24260,Transcription factor bHLH66 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUG9]
AT4G15800,Protein RALF-like 33 [Source:UniProtKB/Swiss-Prot;Acc:Q8L9P8]
AT2G39040,Peroxidase 24 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZV04]
AT4G36400,"D-2-hydroxyglutarate dehydrogenase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O23240]"
AT5G65010,Asparagine synthetase [glutamine-hydrolyzing] 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LV77]
AT2G20800,"External alternative NAD(P)H-ubiquinone oxidoreductase B4, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SKT7]"
AT3G60510,"3-hydroxyisobutyryl-CoA hydrolase-like protein 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q5XF59]"
AT1G33610,Leucine-rich repeat (LRR) family protein [Source:TAIR;Acc:AT1G33610]
AT1G30050,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G01970.1); Has 246 Blast hits to 244 proteins in 61 species: Archae - 0; Bacteria - 8; Metazoa - 78; Fungi - 10; Plants - 117; Viruses - 0; Other Eukaryotes - 33 ( /.../: NCBI BLink). [Source:TAIR;Acc:AT1G30050]
AT5G63960,DNA polymerase delta catalytic subunit [Source:UniProtKB/Swiss-Prot;Acc:Q9LVN7]
AT2G34660,ABC transporter C family member 2 [Source:UniProtKB/Swiss-Prot;Acc:Q42093]
AT2G33470,Glycolipid transfer protein 1 [Source:UniProtKB/Swiss-Prot;Acc:O22797]
AT5G07340,Calnexin homolog 2 [Source:UniProtKB/Swiss-Prot;Acc:Q38798]
AT2G38410,ENTH/VHS/GAT family protein [Source:TAIR;Acc:AT2G38410]
AT1G01800,NAD(P)-binding Rossmann-fold superfamily protein [Source:TAIR;Acc:AT1G01800]
AT5G03250,BTB/POZ domain-containing protein At5g03250 [Source:UniProtKB/Swiss-Prot;Acc:Q9LYW0]
AT3G57910,D111/G-patch domain-containing protein [Source:TAIR;Acc:AT3G57910]
AT4G29680,Alkaline-phosphatase-like family protein [Source:TAIR;Acc:AT4G29680]
AT2G37585,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein [Source:TAIR;Acc:AT2G37585]"
AT2G17640,Serine acetyltransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8S895]
AT5G24120,"RNA polymerase sigma factor sigE, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9ZNX9]"
AT5G26680,Flap endonuclease 1 [Source:UniProtKB/Swiss-Prot;Acc:O65251]
AT5G48930,Shikimate O-hydroxycinnamoyltransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9FI78]
AT1G05060,unknown protein; Has 34 Blast hits to 34 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G05060]
AT4G38940,F-box/kelch-repeat protein At4g38940 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVJ9]
AT5G63195,other RNA [Source:TAIR;Acc:AT5G63195]
AT1G03920,Protein kinase family protein [Source:TAIR;Acc:AT1G03920]
AT1G19050,Two-component response regulator ARR7 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZWS7]
AT5G65880,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 1807 Blast hits to 1807 proteins in 277 s /.../: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). [Source:TAIR;Acc:AT5G65880]
AT1G77840,Probable eukaryotic translation initiation factor 5-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9S825]
AT3G02242,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G02240.1); Has 30201 Blast hits to 17322 protei /.../780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT3G02242]
AT3G16220,Predicted eukaryotic LigT [Source:TAIR;Acc:AT3G16220]
AT1G34470,Probable magnesium transporter NIPA3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LNK7]
AT2G36630,Sulfite exporter TauE/SafE family protein [Source:TAIR;Acc:AT2G36630]
AT2G28130,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; Has 35333 Blast hits to 34131 proteins /.../44 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT2G28130]
AT1G54970,Proline-rich protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ35]
AT3G49850,Telomere repeat-binding factor 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2X3]
AT3G29130,CONTAINS InterPro DOMAIN/s: Domain of unknown function KxDL (InterPro:IPR019371); Has 135 Blast hits to 135 proteins in 54 species: Archae - 0; Bacteria - 0; Metazoa - 106; Fungi - 0; Plants - 26; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink). [Source:TAIR;Acc:AT3G29130]
AT3G04740,Mediator of RNA polymerase II transcription subunit 14 [Source:UniProtKB/Swiss-Prot;Acc:Q9SR02]
AT2G21620,Adenine nucleotide alpha hydrolases-like superfamily protein [Source:TAIR;Acc:AT2G21620]
AT3G43720,Non-specific lipid transfer protein GPI-anchored 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZH5]
AT5G63860,Ultraviolet-B receptor UVR8 [Source:UniProtKB/Swiss-Prot;Acc:Q9FN03]
AT3G17430,Probable sugar phosphate/phosphate translocator At3g17430 [Source:UniProtKB/Swiss-Prot;Acc:Q9LRP2]
AT2G27402,BEST Arabidopsis thaliana protein match is: plastid transcriptionally active 18 (TAIR:AT2G32180.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other  /.../otes - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT2G27402]
AT4G01960,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G02380.1); Has 67 Blast hits to 67 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 67; Viruses - 0; Other Eukaryotes - 0 (source /.../ BLink). [Source:TAIR;Acc:AT4G01960]
AT4G21560,Vacuolar protein sorting-associated protein 28 homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:O65421]
AT4G01830,ABC transporter B family member 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SYI3]
AT5G66590,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Source:TAIR;Acc:AT5G66590]"
AT5G23950,Calcium-dependent lipid-binding (CaLB domain) family protein [Source:TAIR;Acc:AT5G23950]
AT1G10600,AMSH-like ubiquitin thioesterase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q6NKP9]
AT5G41350,RING/U-box superfamily protein [Source:TAIR;Acc:AT5G41350]
AT3G25870,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G13360.1); Has 50 Blast hits to 50 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 50; Viruses - 0; Other Eukaryotes - 0 (source /.../ BLink). [Source:TAIR;Acc:AT3G25870]
AT1G20200,26S proteasome non-ATPase regulatory subunit 3 homolog A [Source:UniProtKB/Swiss-Prot;Acc:Q9LNU4]
AT3G56340,40S ribosomal protein S26-3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LYK9]
AT1G07520,Scarecrow-like protein 31 [Source:UniProtKB/Swiss-Prot;Acc:Q3EDH0]
AT2G43060,Transcription factor IBH1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SKX1]
AT3G56820,unknown protein; Has 34 Blast hits to 34 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink). [Source:TAIR;Acc:AT3G56820]
AT5G64930,Protein CPR-5 [Source:UniProtKB/Swiss-Prot;Acc:Q9LV85]
AT3G25710,Transcription factor AIG1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LS08]
AT5G01230,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:TAIR;Acc:AT5G01230]
AT4G39460,"S-adenosylmethionine carrier 1, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q94AG6]"
AT3G51130,UPF0183 protein At3g51130 [Source:UniProtKB/Swiss-Prot;Acc:Q9SD33]
AT5G65030,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G10210.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - /.../source: NCBI BLink). [Source:TAIR;Acc:AT5G65030]
AT1G02700,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02140.1); Has 49 Blast hits to 49 proteins in 21 spe /.../Archae - 0; Bacteria - 0; Metazoa - 10; Fungi - 6; Plants - 29; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink). [Source:TAIR;Acc:AT1G02700]
AT3G60690,SAUR-like auxin-responsive protein family [Source:TAIR;Acc:AT3G60690]
AT2G15480,UDP-glycosyltransferase 73B5 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZQG4]
AT3G29075,glycine-rich protein [Source:TAIR;Acc:AT3G29075]
AT1G63450,root hair specific 8 [Source:TAIR;Acc:AT1G63450]
AT1G61970,Mitochondrial transcription termination factor family protein [Source:TAIR;Acc:AT1G61970]
AT1G21670,"LOCATED IN: cell wall, plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: WD40-like Beta Propeller (InterPro:IPR011659), Six-bladed beta-propeller, TolB-like (InterPro:IPR011042); /.../Arabidopsis thaliana protein match is: DPP6 N-terminal domain-like protein (TAIR:AT1G21680.1); Has 8461 Blast hits to 5060 proteins in 1257 species: Archae - 79; Bacteria - 5567; Metazoa - 37; Fungi - 70; Plants - 117; Viruses - 0; Other Eukaryotes - 2591 (source: NCBI BLink). [Source:TAIR;Acc:AT1G21670]"
AT3G11240,Arginyl-tRNA--protein transferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9C776]
AT2G40340,Dehydration-responsive element-binding protein 2C [Source:UniProtKB/Swiss-Prot;Acc:Q8LFR2]
AT1G02870,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosome biogenesis protein Nop16 (InterPro:IPR019002); Has 104 Bla /.../s to 104 proteins in 57 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 63; Plants - 35; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink). [Source:TAIR;Acc:AT1G02870]
AT5G67530,Peptidyl-prolyl cis-trans isomerase CYP65 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJX0]
AT1G29380,Carbohydrate-binding X8 domain superfamily protein [Source:TAIR;Acc:AT1G29380]
AT3G05750,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: membrane; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 10 growth stages; BEST Arabidopsis thaliana protein match is: unknown prot /.../AIR:AT5G26910.1); Has 2317 Blast hits to 1467 proteins in 247 species: Archae - 4; Bacteria - 750; Metazoa - 557; Fungi - 182; Plants - 180; Viruses - 0; Other Eukaryotes - 644 (source: NCBI BLink). [Source:TAIR;Acc:AT3G05750]
AT5G18910,Protein kinase superfamily protein [Source:TAIR;Acc:AT5G18910]
AT3G10960,Adenine/guanine permease AZG1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRK7]
AT3G10670,"ABC transporter I family member 6, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9CAF5]"
AT3G16530,Lectin-like protein At3g16530 [Source:UniProtKB/Swiss-Prot;Acc:Q9LK72]
AT5G63150,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown func /.../UF1713, mitochondria (InterPro:IPR013177); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G63150]"
AT3G26760,NAD(P)-binding Rossmann-fold superfamily protein [Source:TAIR;Acc:AT3G26760]
AT3G52730,ubiquinol-cytochrome C reductase UQCRX/QCR9-like family protein [Source:TAIR;Acc:AT3G52730]
AT2G39080,NAD(P)-binding Rossmann-fold superfamily protein [Source:TAIR;Acc:AT2G39080]
AT3G16050,Pyridoxal 5'-phosphate synthase-like subunit PDX1.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZNR6]
AT1G32170,Probable xyloglucan endotransglucosylase/hydrolase protein 30 [Source:UniProtKB/Swiss-Prot;Acc:Q38908]
AT2G46860,Soluble inorganic pyrophosphatase 3 [Source:UniProtKB/Swiss-Prot;Acc:O82793]
AT5G01340,Mitochondrial succinate-fumarate transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9M038]
AT5G57910,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G30630.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eu /.../es - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G57910]
AT5G28220,Protein prenylyltransferase superfamily protein [Source:TAIR;Acc:AT5G28220]
AT5G24800,Basic leucine zipper 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9FUD3]
AT5G59450,Scarecrow-like protein 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9LTI5]
AT3G20240,Probable mitochondrial adenine nucleotide transporter BTL1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LJX5]
AT1G56250,F-box protein VBF [Source:UniProtKB/Swiss-Prot;Acc:Q9C7K0]
AT5G03080,"Lipid phosphate phosphatase gamma, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q6NLA5]"
AT2G44040,"4-hydroxy-tetrahydrodipicolinate reductase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O80574]"
AT3G03960,T-complex protein 1 subunit theta [Source:UniProtKB/Swiss-Prot;Acc:Q94K05]
AT2G30130,LOB domain-containing protein 12 [Source:UniProtKB/Swiss-Prot;Acc:Q8LBW3]
AT3G16780,60S ribosomal protein L19-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LUQ6]
AT5G20740,Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:TAIR;Acc:AT5G20740]
AT5G25250,Flotillin-like protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q501E6]
AT3G47580,Leucine-rich repeat protein kinase family protein [Source:TAIR;Acc:AT3G47580]
AT4G18372,Small nuclear ribonucleoprotein family protein [Source:TAIR;Acc:AT4G18372]
AT3G48090,Protein EDS1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SU72]
AT4G14010,Protein RALF-like 32 [Source:UniProtKB/Swiss-Prot;Acc:O23262]
AT5G04510,3-phosphoinositide-dependent protein kinase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XF67]
AT3G63010,Gibberellin receptor GID1B [Source:UniProtKB/Swiss-Prot;Acc:Q9LYC1]
AT3G17860,Protein TIFY 6B [Source:UniProtKB/Swiss-Prot;Acc:Q9LVI4]
AT1G21880,LysM domain-containing GPI-anchored protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q93ZH0]
AT4G14746,CONTAINS InterPro DOMAIN/s: EGF-like (InterPro:IPR006210); Has 259 Blast hits to 234 proteins in 55 species: Archae - 0; Bacteria - 0; Metazoa - 184; Fungi - 0; Plants - 69; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink). [Source:TAIR;Acc:AT4G14746]
AT5G45580,Homeodomain-like superfamily protein [Source:TAIR;Acc:AT5G45580]
AT1G09794,Cox19 family protein (CHCH motif) [Source:TAIR;Acc:AT1G09794]
AT2G02040,Protein NRT1/ PTR FAMILY 8.3 [Source:UniProtKB/Swiss-Prot;Acc:P46032]
AT2G45970,Cytochrome P450 86A8 [Source:UniProtKB/Swiss-Prot;Acc:O80823]
AT3G07100,Protein transport protein Sec24-like At3g07100 [Source:UniProtKB/Swiss-Prot;Acc:Q9SFU0]
AT3G47210,Plant protein of unknown function (DUF247) [Source:TAIR;Acc:AT3G47210]
AT4G14840,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G22520.1); Has 1681 Blast hits to 1532 proteins in 283 species: Archae - 19; Bacteria - 179; Metazoa - 579; Fungi - 131; Plants - 223; Viruses - 5; Other Eukaryote /.../5 (source: NCBI BLink). [Source:TAIR;Acc:AT4G14840]
AT3G43700,BTB/POZ and MATH domain-containing protein 6 [Source:UniProtKB/Swiss-Prot;Acc:A1L4W5]
AT5G66850,mitogen-activated protein kinase kinase kinase 5 [Source:TAIR;Acc:AT5G66850]
AT5G22740,Glucomannan 4-beta-mannosyltransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FNI7]
AT5G04950,Nicotianamine synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FF79]
AT3G22950,ADP-ribosylation factor C1 [Source:TAIR;Acc:AT3G22950]
AT5G28350,"Quinoprotein amine dehydrogenase, beta chain-like; RIC1-like guanyl-nucleotide exchange factor [Source:TAIR;Acc:AT5G28350]"
AT5G05230,U-box domain-containing protein 62 [Source:UniProtKB/Swiss-Prot;Acc:Q6DBN5]
AT3G54900,"Monothiol glutaredoxin-S14, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q84Y95]"
AT1G66940,protein kinase-related [Source:TAIR;Acc:AT1G66940]
AT3G02710,ARM repeat superfamily protein [Source:TAIR;Acc:AT3G02710]
AT2G20850,Protein STRUBBELIG-RECEPTOR FAMILY 1 [Source:UniProtKB/Swiss-Prot;Acc:Q06BH3]
AT4G25790,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Source:TAIR;Acc:AT4G25790]"
AT1G76140,Prolyl oligopeptidase family protein [Source:TAIR;Acc:AT1G76140]
AT1G74090,Cytosolic sulfotransferase 18 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9C9]
AT1G28420,homeobox-1 [Source:TAIR;Acc:AT1G28420]
AT4G33220,Probable pectinesterase/pectinesterase inhibitor 44 [Source:UniProtKB/Swiss-Prot;Acc:Q9SMY7]
AT1G75190,unknown protein; Has 7306 Blast hits to 3858 proteins in 279 species: Archae - 15; Bacteria - 134; Metazoa - 3314; Fungi - 546; Plants - 228; Viruses - 207; Other Eukaryotes - 2862 (source: NCBI BLink). [Source:TAIR;Acc:AT1G75190]
AT1G68220,Protein of unknown function (DUF1218) [Source:TAIR;Acc:AT1G68220]
AT2G04280,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G12700.1) /.../130 Blast hits to 130 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 124; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink). [Source:TAIR;Acc:AT2G04280]
AT1G70900,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G23110.4); Has 57 Blast hits to 57 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 57; Viruses - 0; Other Eukaryotes - 0 (source /.../ BLink). [Source:TAIR;Acc:AT1G70900]
AT3G02990,Heat stress transcription factor A-1e [Source:UniProtKB/Swiss-Prot;Acc:Q9SCW5]
